content,subject,topic,source_file,difficulty,word_count,complexity_score
"no: 1 | topic: Atom | description: Atom: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Atom,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 12 | topic: Hybridization | description: Hybridization: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Hybridization,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 13 | topic: Molecular Orbital Theory | description: Molecular Orbital Theory: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Molecular Orbital Theory,chemistry_topics_1000_unique.csv,medium,28,1.0
"no: 14 | topic: Stoichiometry | description: Stoichiometry: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Stoichiometry,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 15 | topic: Limiting Reagent | description: Limiting Reagent: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Limiting Reagent,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 16 | topic: Percent Yield | description: Percent Yield: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Percent Yield,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 17 | topic: Mole Concept | description: Mole Concept: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Mole Concept,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 18 | topic: Avogadro's Law | description: Avogadro's Law: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Avogadro's Law,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 19 | topic: Ideal Gas Law | description: Ideal Gas Law: definition, key principles, and typical applications. | example: Example: pV=nRT: 1 mol at 298 K, 24.5 L → p≈1.0 atm. Dalton: P_total=Σp_i.",chemistry,Ideal Gas Law,chemistry_topics_1000_unique.csv,easy,34,1.0
"no: 20 | topic: Real Gases | description: Real Gases: definition, key principles, and typical applications. | example: Example: pV=nRT: 1 mol at 298 K, 24.5 L → p≈1.0 atm. Dalton: P_total=Σp_i.",chemistry,Real Gases,chemistry_topics_1000_unique.csv,easy,32,1.0
"no: 21 | topic: Partial Pressure | description: Partial Pressure: definition, key principles, and typical applications. | example: Example: pV=nRT: 1 mol at 298 K, 24.5 L → p≈1.0 atm. Dalton: P_total=Σp_i.",chemistry,Partial Pressure,chemistry_topics_1000_unique.csv,easy,32,1.0
"no: 22 | topic: Dalton's Law | description: Dalton's Law: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Dalton's Law,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 23 | topic: Graham's Law | description: Graham's Law: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Graham's Law,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 24 | topic: Kinetic Molecular Theory | description: Kinetic Molecular Theory: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Kinetic Molecular Theory,chemistry_topics_1000_unique.csv,medium,28,1.0
"no: 25 | topic: Phase Diagram | description: Phase Diagram: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,Phase Diagram,chemistry_topics_1000_unique.csv,easy,37,1.0
"no: 26 | topic: Triple Point | description: Triple Point: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Triple Point,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 27 | topic: Critical Point | description: Critical Point: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Critical Point,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 28 | topic: Intermolecular Forces | description: Intermolecular Forces: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Intermolecular Forces,chemistry_topics_1000_unique.csv,medium,26,1.0
"no: 29 | topic: Hydrogen Bonding | description: Hydrogen Bonding: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Hydrogen Bonding,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 30 | topic: Dipole–Dipole Interaction | description: Dipole–Dipole Interaction: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Dipole–Dipole Interaction,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 31 | topic: London Dispersion Forces | description: London Dispersion Forces: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,London Dispersion Forces,chemistry_topics_1000_unique.csv,easy,28,1.0
"no: 32 | topic: Solubility | description: Solubility: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Solubility,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 33 | topic: Colligative Properties | description: Colligative Properties: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Colligative Properties,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 34 | topic: Boiling Point Elevation | description: Boiling Point Elevation: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Boiling Point Elevation,chemistry_topics_1000_unique.csv,easy,28,1.0
"no: 35 | topic: Freezing Point Depression | description: Freezing Point Depression: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Freezing Point Depression,chemistry_topics_1000_unique.csv,easy,28,1.0
"no: 36 | topic: Osmotic Pressure | description: Osmotic Pressure: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Osmotic Pressure,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 37 | topic: Raoult's Law | description: Raoult's Law: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Raoult's Law,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 38 | topic: Acid | description: Acid: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,Acid,chemistry_topics_1000_unique.csv,easy,35,1.0
"no: 39 | topic: Base | description: Base: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,Base,chemistry_topics_1000_unique.csv,easy,35,1.0
"no: 40 | topic: pH Scale | description: pH Scale: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,pH Scale,chemistry_topics_1000_unique.csv,easy,37,1.0
"no: 41 | topic: Titration | description: Titration: definition, key principles, and typical applications. | example: Example: 25.00 mL 0.100 M HCl titrated with 0.100 M NaOH → equivalence at 25.00 mL; pH=7.",chemistry,Titration,chemistry_topics_1000_unique.csv,easy,33,1.0
"no: 42 | topic: Buffer Solution | description: Buffer Solution: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,Buffer Solution,chemistry_topics_1000_unique.csv,easy,37,1.0
"no: 43 | topic: Indicator | description: Indicator: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Indicator,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 44 | topic: Hydrolysis | description: Hydrolysis: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Hydrolysis,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 45 | topic: Salt Formation | description: Salt Formation: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Salt Formation,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 46 | topic: Neutralization Reaction | description: Neutralization Reaction: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Neutralization Reaction,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 47 | topic: Redox Reaction | description: Redox Reaction: definition, key principles, and typical applications. | example: Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).",chemistry,Redox Reaction,chemistry_topics_1000_unique.csv,easy,34,1.0
"no: 48 | topic: Oxidation Number | description: Oxidation Number: definition, key principles, and typical applications. | example: Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).",chemistry,Oxidation Number,chemistry_topics_1000_unique.csv,easy,34,1.0
"no: 49 | topic: Electrochemical Cell | description: Electrochemical Cell: definition, key principles, and typical applications. | example: Example: Daniell cell Zn|Zn²⁺(1 M)||Cu²⁺(1 M)|Cu, E°=+1.10 V; Nernst adjusts for non‑1 M.",chemistry,Electrochemical Cell,chemistry_topics_1000_unique.csv,easy,31,1.0
"no: 50 | topic: Electrolysis | description: Electrolysis: definition, key principles, and typical applications. | example: Example: Electrolysis of brine: 2Cl⁻→Cl₂ at anode; 2H₂O+2e⁻→H₂+2OH⁻ at cathode; net: 2NaCl+2H₂O→H₂+Cl₂+2NaOH.",chemistry,Electrolysis,chemistry_topics_1000_unique.csv,easy,28,1.0
"no: 51 | topic: Galvanic Cell | description: Galvanic Cell: definition, key principles, and typical applications. | example: Example: E = E° − (0.0592/n) log(Q); for Zn/Cu cell at 0.01 M ions, E ≈ 1.04 V.",chemistry,Galvanic Cell,chemistry_topics_1000_unique.csv,easy,36,1.0
"no: 52 | topic: Nernst Equation | description: Nernst Equation: definition, key principles, and typical applications. | example: Example: E = E° − (0.0592/n) log(Q); for Zn/Cu cell at 0.01 M ions, E ≈ 1.04 V.",chemistry,Nernst Equation,chemistry_topics_1000_unique.csv,easy,36,1.0
"no: 53 | topic: Faraday’s Laws | description: Faraday’s Laws: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Faraday’s Laws,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 54 | topic: Electroplating | description: Electroplating: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Electroplating,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 55 | topic: Standard Electrode Potential | description: Standard Electrode Potential: definition, key principles, and typical applications. | example: Example: E = E° − (0.0592/n) log(Q); for Zn/Cu cell at 0.01 M ions, E ≈ 1.04 V.",chemistry,Standard Electrode Potential,chemistry_topics_1000_unique.csv,easy,38,1.0
"no: 56 | topic: Chemical Equilibrium | description: Chemical Equilibrium: definition, key principles, and typical applications. | example: Example: FeSCN²⁺ complex: add Fe³⁺ shifts red color right (Le Chatelier). Kc from absorbance.",chemistry,Chemical Equilibrium,chemistry_topics_1000_unique.csv,medium,32,1.0
"no: 57 | topic: Le Chatelier’s Principle | description: Le Chatelier’s Principle: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Le Chatelier’s Principle,chemistry_topics_1000_unique.csv,easy,28,1.0
"no: 58 | topic: Rate Law | description: Rate Law: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Rate Law,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 59 | topic: Activation Energy | description: Activation Energy: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Activation Energy,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 60 | topic: Catalyst | description: Catalyst: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Catalyst,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 61 | topic: Arrhenius Equation | description: Arrhenius Equation: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Arrhenius Equation,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 62 | topic: Collision Theory | description: Collision Theory: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Collision Theory,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 63 | topic: Thermodynamics | description: Thermodynamics: definition, key principles, and typical applications. | example: Example: Dissolution of NH4NO3: ΔH>0, ΔS>0; spontaneous at high T since ΔG=ΔH−TΔS < 0.",chemistry,Thermodynamics,chemistry_topics_1000_unique.csv,easy,30,1.0
"no: 64 | topic: First Law of Thermodynamics | description: First Law of Thermodynamics: definition, key principles, and typical applications. | example: Example: Dissolution of NH4NO3: ΔH>0, ΔS>0; spontaneous at high T since ΔG=ΔH−TΔS < 0.",chemistry,First Law of Thermodynamics,chemistry_topics_1000_unique.csv,easy,36,1.0
"no: 65 | topic: Enthalpy | description: Enthalpy: definition, key principles, and typical applications. | example: Example: Combustion of methane ΔH°≈−890 kJ/mol; ΔG°=ΔH°−TΔS°. Spontaneous at 298 K.",chemistry,Enthalpy,chemistry_topics_1000_unique.csv,easy,27,1.0
"no: 66 | topic: Entropy | description: Entropy: definition, key principles, and typical applications. | example: Example: Combustion of methane ΔH°≈−890 kJ/mol; ΔG°=ΔH°−TΔS°. Spontaneous at 298 K.",chemistry,Entropy,chemistry_topics_1000_unique.csv,easy,27,1.0
"no: 67 | topic: Gibbs Free Energy | description: Gibbs Free Energy: definition, key principles, and typical applications. | example: Example: Dissolution of NH4NO3: ΔH>0, ΔS>0; spontaneous at high T since ΔG=ΔH−TΔS < 0.",chemistry,Gibbs Free Energy,chemistry_topics_1000_unique.csv,easy,34,1.0
"no: 68 | topic: Hess’s Law | description: Hess’s Law: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Hess’s Law,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 69 | topic: Bond Energy | description: Bond Energy: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Bond Energy,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 70 | topic: Heat Capacity | description: Heat Capacity: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Heat Capacity,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 71 | topic: Calorimetry | description: Calorimetry: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Calorimetry,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 72 | topic: Phase Transition | description: Phase Transition: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,Phase Transition,chemistry_topics_1000_unique.csv,easy,37,1.0
"no: 73 | topic: Atomic Structure | description: Atomic Structure: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Atomic Structure,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 74 | topic: Bohr Model | description: Bohr Model: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Bohr Model,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 75 | topic: Quantum Numbers | description: Quantum Numbers: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Quantum Numbers,chemistry_topics_1000_unique.csv,medium,26,1.0
"no: 76 | topic: Electron Configuration | description: Electron Configuration: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Electron Configuration,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 77 | topic: Periodic Table | description: Periodic Table: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Periodic Table,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 78 | topic: Periodic Trends | description: Periodic Trends: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Periodic Trends,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 79 | topic: Ionization Energy | description: Ionization Energy: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Ionization Energy,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 80 | topic: Electronegativity | description: Electronegativity: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Electronegativity,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 81 | topic: Electron Affinity | description: Electron Affinity: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Electron Affinity,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 82 | topic: Atomic Radius | description: Atomic Radius: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Atomic Radius,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 83 | topic: Transition Elements | description: Transition Elements: definition, key principles, and typical applications. | example: Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).",chemistry,Transition Elements,chemistry_topics_1000_unique.csv,easy,32,1.0
"no: 84 | topic: Lanthanides | description: Lanthanides: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Lanthanides,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 85 | topic: Actinides | description: Actinides: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Actinides,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 86 | topic: Coordination Compound | description: Coordination Compound: definition, key principles, and typical applications. | example: Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).",chemistry,Coordination Compound,chemistry_topics_1000_unique.csv,easy,32,1.0
"no: 87 | topic: Crystal Field Theory | description: Crystal Field Theory: definition, key principles, and typical applications. | example: Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).",chemistry,Crystal Field Theory,chemistry_topics_1000_unique.csv,easy,34,1.0
"no: 88 | topic: Ligands | description: Ligands: definition, key principles, and typical applications. | example: Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).",chemistry,Ligands,chemistry_topics_1000_unique.csv,easy,30,1.0
"no: 89 | topic: Chelation | description: Chelation: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Chelation,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 90 | topic: Oxidation States | description: Oxidation States: definition, key principles, and typical applications. | example: Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).",chemistry,Oxidation States,chemistry_topics_1000_unique.csv,easy,34,1.0
"no: 91 | topic: Crystal Lattice | description: Crystal Lattice: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Crystal Lattice,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 92 | topic: Unit Cell | description: Unit Cell: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Unit Cell,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 93 | topic: Bragg’s Law | description: Bragg’s Law: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Bragg’s Law,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 94 | topic: Metal Extraction | description: Metal Extraction: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Metal Extraction,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 95 | topic: Alloys | description: Alloys: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Alloys,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 96 | topic: Corrosion | description: Corrosion: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Corrosion,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 97 | topic: Metallurgy | description: Metallurgy: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Metallurgy,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 98 | topic: Ore Concentration | description: Ore Concentration: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Ore Concentration,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 99 | topic: Roasting and Calcination | description: Roasting and Calcination: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Roasting and Calcination,chemistry_topics_1000_unique.csv,easy,28,1.0
"no: 100 | topic: Thermite Reaction | description: Thermite Reaction: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Thermite Reaction,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 101 | topic: Hydrocarbon | description: Hydrocarbon: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Hydrocarbon,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 102 | topic: Alkane | description: Alkane: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Alkane,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 103 | topic: Alkene | description: Alkene: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Alkene,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 104 | topic: Alkyne | description: Alkyne: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Alkyne,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 105 | topic: Aromatic Compounds | description: Aromatic Compounds: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Aromatic Compounds,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 106 | topic: Benzene | description: Benzene: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Benzene,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 107 | topic: Isomerism | description: Isomerism: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Isomerism,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 108 | topic: Functional Group | description: Functional Group: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Functional Group,chemistry_topics_1000_unique.csv,easy,26,1.0
"no: 109 | topic: Alcohol | description: Alcohol: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Alcohol,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 110 | topic: Aldehyde | description: Aldehyde: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Aldehyde,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 111 | topic: Ketone | description: Ketone: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Ketone,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 112 | topic: Carboxylic Acid | description: Carboxylic Acid: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,Carboxylic Acid,chemistry_topics_1000_unique.csv,easy,37,1.0
"no: 113 | topic: Esterification | description: Esterification: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Esterification,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 114 | topic: Polymerization | description: Polymerization: definition, key principles, and typical applications. | example: Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.",chemistry,Polymerization,chemistry_topics_1000_unique.csv,easy,29,1.0
"no: 115 | topic: Addition Polymer | description: Addition Polymer: definition, key principles, and typical applications. | example: Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.",chemistry,Addition Polymer,chemistry_topics_1000_unique.csv,easy,31,1.0
"no: 116 | topic: Condensation Polymer | description: Condensation Polymer: definition, key principles, and typical applications. | example: Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.",chemistry,Condensation Polymer,chemistry_topics_1000_unique.csv,easy,31,1.0
"no: 117 | topic: Monomer | description: Monomer: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Monomer,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 118 | topic: Biodegradable Polymer | description: Biodegradable Polymer: definition, key principles, and typical applications. | example: Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.",chemistry,Biodegradable Polymer,chemistry_topics_1000_unique.csv,easy,31,1.0
"no: 119 | topic: Amino Acids | description: Amino Acids: definition, key principles, and typical applications. | example: Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly.",chemistry,Amino Acids,chemistry_topics_1000_unique.csv,easy,37,1.0
"no: 120 | topic: Proteins | description: Proteins: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Proteins,chemistry_topics_1000_unique.csv,easy,24,1.0
"no: 121 | topic: Peptide Bond | description: Peptide Bond: definition, key principles, and typical applications. | example: Provide balanced equation, numeric data, or experiment summary.",chemistry,Peptide Bond,chemistry_topics_1000_unique.csv,easy,26,1.0
