no,topic,description,example
33,B-Tree,"B-Tree: key idea, when to use it, and its core properties or equations.","Multi-way balanced tree (disk-friendly).
Example: fanout m=4; insert keys 1..20 yields height ≈2. Range scans are cache/disk efficient."
34,B+ Tree,"B+ Tree: key idea, when to use it, and its core properties or equations.","All records in leaves with linked leaves.
Example: range query [10,20] → walk leaf chain. Used in DB indexes."
35,K-d Tree,"K-d Tree: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
36,QuadTree,"QuadTree: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
37,R-Tree,"R-Tree: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
38,Binary Search,"Binary Search: key idea, when to use it, and its core properties or equations.","Find target in sorted array.
Example: a=[1,3,5,7,9]; search 7 → mid=5<7 → right half → found at idx=3 in O(log n)."
39,Ternary Search,"Ternary Search: key idea, when to use it, and its core properties or equations.","Optimize unimodal function.
Example: f(x)=-x^2+4x on [0,5] → ternary narrows to x≈2 (maximum)."
40,Exponential Search,"Exponential Search: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
41,Interpolation Search,"Interpolation Search: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
42,Quick Sort,"Quick Sort: key idea, when to use it, and its core properties or equations.","Partition around pivot.
Example: [5,1,4,2] → pivot 4 → [1,2] + [4] + [5] → sorted. Avg O(n log n)."
43,Merge Sort,"Merge Sort: key idea, when to use it, and its core properties or equations.","Divide array, sort halves, merge.
Example: [4,3,2,1] → [4,3]|[2,1] → [3,4]|[1,2] → [1,2,3,4]. Stable O(n log n)."
44,Heap Sort,"Heap Sort: key idea, when to use it, and its core properties or equations.","Min-heap for smallest-first.
Example: push 9,5,7 → pop gives 5 then 7 then 9. Each push/pop O(log n)."
45,Counting Sort,"Counting Sort: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
46,Radix Sort,"Radix Sort: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
47,Bucket Sort,"Bucket Sort: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
48,Two Pointers,"Two Pointers: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
49,Sliding Window,"Sliding Window: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
50,Divide and Conquer,"Divide and Conquer: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
51,Greedy Algorithms,"Greedy Algorithms: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
52,Dynamic Programming,"Dynamic Programming: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
53,Backtracking,"Backtracking: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
54,Branch and Bound,"Branch and Bound: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
55,Topological Sort,"Topological Sort: key idea, when to use it, and its core properties or equations.","Order DAG nodes so edges go forward.
Example: prereqs A→B, A→C, B→D → topo order A,B,C,D."
56,Dijkstra's Algorithm,"Dijkstra's Algorithm: key idea, when to use it, and its core properties or equations.","Shortest paths with nonnegative edges.
Graph: 0→1 (4), 0→2 (1), 2→1 (2), 1→3 (1), 2→3 (5).
From 0: dist[3]=0→2→1→3 = 1+2+1 = 4."
57,Bellman–Ford,"Bellman–Ford: key idea, when to use it, and its core properties or equations.","Handles negatives.
Example: relax edges V−1 times; detect negative cycle if an edge still relaxes on pass V."
58,Floyd–Warshall,"Floyd–Warshall: key idea, when to use it, and its core properties or equations.","All-pairs shortest paths.
Example: add each k as intermediate and update dist[i][j]=min(dist[i][j],dist[i][k]+dist[k][j])."
59,Johnson's Algorithm,"Johnson's Algorithm: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
60,Kruskal's Algorithm,"Kruskal's Algorithm: key idea, when to use it, and its core properties or equations.","Minimum Spanning Tree.
Example: Kruskal sorts edges, unions smallest non-cycling; Prim grows from a seed using a PQ."
61,Prim's Algorithm,"Prim's Algorithm: key idea, when to use it, and its core properties or equations.","Minimum Spanning Tree.
Example: Kruskal sorts edges, unions smallest non-cycling; Prim grows from a seed using a PQ."
62,Tarjan's SCC,"Tarjan's SCC: key idea, when to use it, and its core properties or equations.","DFS low-link ideas.
Example: Tarjan finds SCCs with a stack; bridges if low[v] > disc[u]."
63,Kosaraju's SCC,"Kosaraju's SCC: key idea, when to use it, and its core properties or equations.","DFS low-link ideas.
Example: Tarjan finds SCCs with a stack; bridges if low[v] > disc[u]."
64,Kahn's Algorithm,"Kahn's Algorithm: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
65,A* Search,"A* Search: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
66,Dinic's Max Flow,"Dinic's Max Flow: key idea, when to use it, and its core properties or equations.","Flow network.
Example: source→A(3),A→sink(2), source→B(2),B→sink(2) → max flow = 4. Min-cost adds edge costs."
67,Edmonds–Karp Max Flow,"Edmonds–Karp Max Flow: key idea, when to use it, and its core properties or equations.","Flow network.
Example: source→A(3),A→sink(2), source→B(2),B→sink(2) → max flow = 4. Min-cost adds edge costs."
68,Min-Cost Max Flow,"Min-Cost Max Flow: key idea, when to use it, and its core properties or equations.","Flow network.
Example: source→A(3),A→sink(2), source→B(2),B→sink(2) → max flow = 4. Min-cost adds edge costs."
69,Hungarian Algorithm,"Hungarian Algorithm: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
70,Hopcroft–Karp Matching,"Hopcroft–Karp Matching: key idea, when to use it, and its core properties or equations.","Flow network.
Example: source→A(3),A→sink(2), source→B(2),B→sink(2) → max flow = 4. Min-cost adds edge costs."
71,Euler Tour Technique,"Euler Tour Technique: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
72,Binary Lifting LCA,"Binary Lifting LCA: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
73,Sparse Table RMQ,"Sparse Table RMQ: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
74,Heavy-Light Decomposition,"Heavy-Light Decomposition: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
75,Centroid Decomposition,"Centroid Decomposition: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
76,Convex Hull (Graham Scan),"Convex Hull (Graham Scan): key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
77,Convex Hull (Jarvis March),"Convex Hull (Jarvis March): key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
78,Line Sweep (Intervals),"Line Sweep (Intervals): key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
79,Closest Pair of Points,"Closest Pair of Points: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
80,Rotating Calipers,"Rotating Calipers: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
81,KMP,"KMP: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
82,Rabin–Karp,"Rabin–Karp: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
83,Z-Algorithm,"Z-Algorithm: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
84,Boyer–Moore,"Boyer–Moore: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
85,Manacher's Algorithm,"Manacher's Algorithm: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
86,Suffix Automaton,"Suffix Automaton: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
87,Edit Distance,"Edit Distance: key idea, when to use it, and its core properties or equations.","Levenshtein DP.
Example: 'kitten'→'sitting' cost 3 via dp[i][j]=1+min(ins,del,sub)."
88,Longest Common Subsequence,"Longest Common Subsequence: key idea, when to use it, and its core properties or equations.","LCS DP.
Example: X=ABCBDAB, Y=BDCABA → LCS=BCBA (len 4)."
89,Longest Increasing Subsequence,"Longest Increasing Subsequence: key idea, when to use it, and its core properties or equations.","Patience sorting.
Example: [10,9,2,5,3,7] → LIS length 3: [2,5,7]."
90,Mo's Algorithm,"Mo's Algorithm: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
91,Bitmask DP,"Bitmask DP: key idea, when to use it, and its core properties or equations.","Subset DP.
Example: TSP for n=4: dp[mask][i] over visited sets; complexity O(n·2^n)."
92,Digit DP,"Digit DP: key idea, when to use it, and its core properties or equations.","Count integers by digits.
Example: count numbers ≤ N without digit 7 via position DP with tight flag."
93,Object-Oriented Programming,"Object-Oriented Programming: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
94,Encapsulation,"Encapsulation: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
95,Inheritance,"Inheritance: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
96,Polymorphism,"Polymorphism: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
97,Abstraction,"Abstraction: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
98,SOLID Principles,"SOLID Principles: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
99,Dependency Injection,"Dependency Injection: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
100,Functional Programming,"Functional Programming: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
101,Higher-Order Functions,"Higher-Order Functions: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
102,Immutability,"Immutability: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
103,Pure Functions,"Pure Functions: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
104,Recursion,"Recursion: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
105,Tail Recursion,"Tail Recursion: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
106,Memoization,"Memoization: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
107,Lazy Evaluation,"Lazy Evaluation: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
108,Metaprogramming,"Metaprogramming: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
109,Reflection,"Reflection: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
110,Generics,"Generics: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
111,Traits,"Traits: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
112,Interfaces,"Interfaces: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
113,Pattern Matching,"Pattern Matching: key idea, when to use it, and its core properties or equations.","Flow network.
Example: source→A(3),A→sink(2), source→B(2),B→sink(2) → max flow = 4. Min-cost adds edge costs."
114,Aspect-Oriented Programming,"Aspect-Oriented Programming: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
115,Reactive Programming,"Reactive Programming: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
116,Process,"Process: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
117,Thread,"Thread: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
118,Thread Pool,"Thread Pool: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
119,Green Thread,"Green Thread: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
120,Coroutine,"Coroutine: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
121,Async/Await,"Async/Await: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
122,Event Loop,"Event Loop: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
123,Mutex,"Mutex: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
124,Semaphore,"Semaphore: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
125,Monitor,"Monitor: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
126,Condition Variable,"Condition Variable: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
127,Read–Write Lock,"Read–Write Lock: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
128,Atomic Operations,"Atomic Operations: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
129,Lock-Free Programming,"Lock-Free Programming: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
130,Wait-Free Algorithms,"Wait-Free Algorithms: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
131,Deadlock,"Deadlock: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
132,Livelock,"Livelock: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
133,Starvation,"Starvation: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
134,Race Condition,"Race Condition: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
135,Transactional Memory,"Transactional Memory: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
136,Actor Model,"Actor Model: key idea, when to use it, and its core properties or equations.","Scenario: increment a shared counter safely.
Example: 4 threads each do 1000 increments; with a mutex the final count is 4000 (no lost updates)."
137,MapReduce,"MapReduce: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
138,SIMD,"SIMD: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
139,GPU Programming,"GPU Programming: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
140,OpenMP,"OpenMP: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
141,MPI,"MPI: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
142,Operating System,"Operating System: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
143,System Call,"System Call: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
144,Context Switch,"Context Switch: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
145,Scheduling (Round Robin),"Scheduling (Round Robin): key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
146,Scheduling (Priority),"Scheduling (Priority): key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
147,Real-Time Scheduling,"Real-Time Scheduling: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
148,Memory Management,"Memory Management: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
149,Stack vs Heap,"Stack vs Heap: key idea, when to use it, and its core properties or equations.","LIFO container.
Ops: push(3), push(5), pop()→5, top()→3. Parentheses check uses stack."
150,Virtual Memory,"Virtual Memory: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
151,Paging,"Paging: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
152,Segmentation,"Segmentation: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
153,Page Replacement (LRU),"Page Replacement (LRU): key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
154,Page Replacement (Clock),"Page Replacement (Clock): key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
155,Copy-on-Write,"Copy-on-Write: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
156,File System,"File System: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
157,Journaling FS,"Journaling FS: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
158,Inode,"Inode: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
159,Block Device,"Block Device: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
160,Device Driver,"Device Driver: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
161,Interrupt,"Interrupt: key idea, when to use it, and its core properties or equations.",Example: a page fault loads a 4KB page into RAM; TLB caches recent translations; COW forks share pages until a write triggers copy.
