no,topic,description,example
21,Partial Pressure,"Partial Pressure: definition, key principles, and typical applications.","Example: pV=nRT: 1 mol at 298 K, 24.5 L → p≈1.0 atm. Dalton: P_total=Σp_i."
22,Dalton's Law,"Dalton's Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
23,Graham's Law,"Graham's Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
24,Kinetic Molecular Theory,"Kinetic Molecular Theory: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
25,Phase Diagram,"Phase Diagram: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
26,Triple Point,"Triple Point: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
27,Critical Point,"Critical Point: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
28,Intermolecular Forces,"Intermolecular Forces: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
29,Hydrogen Bonding,"Hydrogen Bonding: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
30,Dipole–Dipole Interaction,"Dipole–Dipole Interaction: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
31,London Dispersion Forces,"London Dispersion Forces: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
32,Solubility,"Solubility: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
33,Colligative Properties,"Colligative Properties: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
34,Boiling Point Elevation,"Boiling Point Elevation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
35,Freezing Point Depression,"Freezing Point Depression: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
36,Osmotic Pressure,"Osmotic Pressure: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
37,Raoult's Law,"Raoult's Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
38,Acid,"Acid: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
39,Base,"Base: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
40,pH Scale,"pH Scale: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
41,Titration,"Titration: definition, key principles, and typical applications.",Example: 25.00 mL 0.100 M HCl titrated with 0.100 M NaOH → equivalence at 25.00 mL; pH=7.
42,Buffer Solution,"Buffer Solution: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
43,Indicator,"Indicator: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
44,Hydrolysis,"Hydrolysis: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
45,Salt Formation,"Salt Formation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
46,Neutralization Reaction,"Neutralization Reaction: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
47,Redox Reaction,"Redox Reaction: definition, key principles, and typical applications.",Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).
48,Oxidation Number,"Oxidation Number: definition, key principles, and typical applications.",Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).
49,Electrochemical Cell,"Electrochemical Cell: definition, key principles, and typical applications.","Example: Daniell cell Zn|Zn²⁺(1 M)||Cu²⁺(1 M)|Cu, E°=+1.10 V; Nernst adjusts for non‑1 M."
50,Electrolysis,"Electrolysis: definition, key principles, and typical applications.",Example: Electrolysis of brine: 2Cl⁻→Cl₂ at anode; 2H₂O+2e⁻→H₂+2OH⁻ at cathode; net: 2NaCl+2H₂O→H₂+Cl₂+2NaOH.
51,Galvanic Cell,"Galvanic Cell: definition, key principles, and typical applications.","Example: E = E° − (0.0592/n) log(Q); for Zn/Cu cell at 0.01 M ions, E ≈ 1.04 V."
52,Nernst Equation,"Nernst Equation: definition, key principles, and typical applications.","Example: E = E° − (0.0592/n) log(Q); for Zn/Cu cell at 0.01 M ions, E ≈ 1.04 V."
53,Faraday’s Laws,"Faraday’s Laws: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
54,Electroplating,"Electroplating: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
55,Standard Electrode Potential,"Standard Electrode Potential: definition, key principles, and typical applications.","Example: E = E° − (0.0592/n) log(Q); for Zn/Cu cell at 0.01 M ions, E ≈ 1.04 V."
56,Chemical Equilibrium,"Chemical Equilibrium: definition, key principles, and typical applications.",Example: FeSCN²⁺ complex: add Fe³⁺ shifts red color right (Le Chatelier). Kc from absorbance.
57,Le Chatelier’s Principle,"Le Chatelier’s Principle: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
58,Rate Law,"Rate Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
59,Activation Energy,"Activation Energy: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
60,Catalyst,"Catalyst: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
61,Arrhenius Equation,"Arrhenius Equation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
62,Collision Theory,"Collision Theory: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
63,Thermodynamics,"Thermodynamics: definition, key principles, and typical applications.","Example: Dissolution of NH4NO3: ΔH>0, ΔS>0; spontaneous at high T since ΔG=ΔH−TΔS < 0."
64,First Law of Thermodynamics,"First Law of Thermodynamics: definition, key principles, and typical applications.","Example: Dissolution of NH4NO3: ΔH>0, ΔS>0; spontaneous at high T since ΔG=ΔH−TΔS < 0."
65,Enthalpy,"Enthalpy: definition, key principles, and typical applications.",Example: Combustion of methane ΔH°≈−890 kJ/mol; ΔG°=ΔH°−TΔS°. Spontaneous at 298 K.
66,Entropy,"Entropy: definition, key principles, and typical applications.",Example: Combustion of methane ΔH°≈−890 kJ/mol; ΔG°=ΔH°−TΔS°. Spontaneous at 298 K.
67,Gibbs Free Energy,"Gibbs Free Energy: definition, key principles, and typical applications.","Example: Dissolution of NH4NO3: ΔH>0, ΔS>0; spontaneous at high T since ΔG=ΔH−TΔS < 0."
68,Hess’s Law,"Hess’s Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
69,Bond Energy,"Bond Energy: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
70,Heat Capacity,"Heat Capacity: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
71,Calorimetry,"Calorimetry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
72,Phase Transition,"Phase Transition: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
73,Atomic Structure,"Atomic Structure: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
74,Bohr Model,"Bohr Model: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
75,Quantum Numbers,"Quantum Numbers: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
76,Electron Configuration,"Electron Configuration: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
77,Periodic Table,"Periodic Table: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
78,Periodic Trends,"Periodic Trends: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
79,Ionization Energy,"Ionization Energy: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
80,Electronegativity,"Electronegativity: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
81,Electron Affinity,"Electron Affinity: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
82,Atomic Radius,"Atomic Radius: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
83,Transition Elements,"Transition Elements: definition, key principles, and typical applications.",Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).
84,Lanthanides,"Lanthanides: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
85,Actinides,"Actinides: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
86,Coordination Compound,"Coordination Compound: definition, key principles, and typical applications.",Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).
87,Crystal Field Theory,"Crystal Field Theory: definition, key principles, and typical applications.",Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).
88,Ligands,"Ligands: definition, key principles, and typical applications.",Example: [Fe(H2O)6]³⁺ is high‑spin in weak‑field ligands; octahedral d–d band in visible region (yellow).
89,Chelation,"Chelation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
90,Oxidation States,"Oxidation States: definition, key principles, and typical applications.",Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).
91,Crystal Lattice,"Crystal Lattice: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
92,Unit Cell,"Unit Cell: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
93,Bragg’s Law,"Bragg’s Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
94,Metal Extraction,"Metal Extraction: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
95,Alloys,"Alloys: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
96,Corrosion,"Corrosion: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
97,Metallurgy,"Metallurgy: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
98,Ore Concentration,"Ore Concentration: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
99,Roasting and Calcination,"Roasting and Calcination: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
100,Thermite Reaction,"Thermite Reaction: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
101,Hydrocarbon,"Hydrocarbon: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
102,Alkane,"Alkane: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
103,Alkene,"Alkene: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
104,Alkyne,"Alkyne: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
105,Aromatic Compounds,"Aromatic Compounds: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
106,Benzene,"Benzene: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
107,Isomerism,"Isomerism: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
108,Functional Group,"Functional Group: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
109,Alcohol,"Alcohol: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
110,Aldehyde,"Aldehyde: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
111,Ketone,"Ketone: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
112,Carboxylic Acid,"Carboxylic Acid: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
113,Esterification,"Esterification: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
114,Polymerization,"Polymerization: definition, key principles, and typical applications.",Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.
115,Addition Polymer,"Addition Polymer: definition, key principles, and typical applications.",Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.
116,Condensation Polymer,"Condensation Polymer: definition, key principles, and typical applications.",Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.
117,Monomer,"Monomer: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
118,Biodegradable Polymer,"Biodegradable Polymer: definition, key principles, and typical applications.",Example: HDPE vs LDPE: higher crystallinity → higher melting point and tensile strength.
119,Amino Acids,"Amino Acids: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
120,Proteins,"Proteins: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
121,Peptide Bond,"Peptide Bond: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
122,Carbohydrates,"Carbohydrates: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
123,Lipids,"Lipids: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
124,Nucleic Acids,"Nucleic Acids: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
125,DNA,"DNA: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
126,RNA,"RNA: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
127,Enzymes,"Enzymes: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
128,Catalysis,"Catalysis: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
129,Reaction Mechanism,"Reaction Mechanism: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
130,Free Radical Substitution,"Free Radical Substitution: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
131,Electrophilic Addition,"Electrophilic Addition: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
132,Nucleophilic Substitution,"Nucleophilic Substitution: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
133,Elimination Reaction,"Elimination Reaction: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
134,SN1 Mechanism,"SN1 Mechanism: definition, key principles, and typical applications.","Example: SN2: CH3Br + ⁻OH → CH3OH + Br⁻ (backside attack, inversion). Aldol: 2 CH3CHO → CH3CH(OH)CH2CHO."
135,SN2 Mechanism,"SN2 Mechanism: definition, key principles, and typical applications.","Example: SN2: CH3Br + ⁻OH → CH3OH + Br⁻ (backside attack, inversion). Aldol: 2 CH3CHO → CH3CH(OH)CH2CHO."
136,E1 Mechanism,"E1 Mechanism: definition, key principles, and typical applications.","Example: SN2: CH3Br + ⁻OH → CH3OH + Br⁻ (backside attack, inversion). Aldol: 2 CH3CHO → CH3CH(OH)CH2CHO."
137,E2 Mechanism,"E2 Mechanism: definition, key principles, and typical applications.","Example: SN2: CH3Br + ⁻OH → CH3OH + Br⁻ (backside attack, inversion). Aldol: 2 CH3CHO → CH3CH(OH)CH2CHO."
138,Aromatic Substitution,"Aromatic Substitution: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
139,Friedel–Crafts Reaction,"Friedel–Crafts Reaction: definition, key principles, and typical applications.","Example: SN2: CH3Br + ⁻OH → CH3OH + Br⁻ (backside attack, inversion). Aldol: 2 CH3CHO → CH3CH(OH)CH2CHO."
140,Oxidation of Alcohols,"Oxidation of Alcohols: definition, key principles, and typical applications.",Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).
141,Reduction Reactions,"Reduction Reactions: definition, key principles, and typical applications.",Example: MnO4⁻ + 5Fe²⁺ + 8H⁺ → Mn²⁺ + 5Fe³⁺ + 4H₂O (balanced in acidic medium).
142,Grignard Reagent,"Grignard Reagent: definition, key principles, and typical applications.","Example: SN2: CH3Br + ⁻OH → CH3OH + Br⁻ (backside attack, inversion). Aldol: 2 CH3CHO → CH3CH(OH)CH2CHO."
143,Organometallic Compound,"Organometallic Compound: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
144,Spectroscopy,"Spectroscopy: definition, key principles, and typical applications.",Example: IR C=O stretch at ~1715 cm⁻¹ confirms ketone; ¹H NMR singlet δ 2.1 (acetyl CH3).
145,Infrared Spectroscopy,"Infrared Spectroscopy: definition, key principles, and typical applications.",Example: IR C=O stretch at ~1715 cm⁻¹ confirms ketone; ¹H NMR singlet δ 2.1 (acetyl CH3).
146,UV–Visible Spectroscopy,"UV–Visible Spectroscopy: definition, key principles, and typical applications.",Example: IR C=O stretch at ~1715 cm⁻¹ confirms ketone; ¹H NMR singlet δ 2.1 (acetyl CH3).
147,Mass Spectrometry,"Mass Spectrometry: definition, key principles, and typical applications.",Example: HPLC separates caffeine (tR=3.4 min) from acetaminophen (tR=5.1 min); UV at 273 nm.
148,NMR Spectroscopy,"NMR Spectroscopy: definition, key principles, and typical applications.",Example: IR C=O stretch at ~1715 cm⁻¹ confirms ketone; ¹H NMR singlet δ 2.1 (acetyl CH3).
149,Chromatography,"Chromatography: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
150,Gas Chromatography,"Gas Chromatography: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
151,HPLC,"HPLC: definition, key principles, and typical applications.",Example: HPLC separates caffeine (tR=3.4 min) from acetaminophen (tR=5.1 min); UV at 273 nm.
152,Paper Chromatography,"Paper Chromatography: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
153,Thin Layer Chromatography,"Thin Layer Chromatography: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
154,Colorimetry,"Colorimetry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
155,Conductometry,"Conductometry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
156,Potentiometry,"Potentiometry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
157,Voltammetry,"Voltammetry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
158,Polarography,"Polarography: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
159,Photochemistry,"Photochemistry: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
160,Quantum Yield,"Quantum Yield: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
161,Beer–Lambert Law,"Beer–Lambert Law: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
162,Fluorescence,"Fluorescence: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
163,Phosphorescence,"Phosphorescence: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
164,Laser Chemistry,"Laser Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
165,Photovoltaic Effect,"Photovoltaic Effect: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
166,Radiochemistry,"Radiochemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
167,Nuclear Fission,"Nuclear Fission: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
168,Nuclear Fusion,"Nuclear Fusion: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
169,Half-Life,"Half-Life: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
170,Radioisotopes,"Radioisotopes: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
171,Radiocarbon Dating,"Radiocarbon Dating: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
172,Nuclear Reactor,"Nuclear Reactor: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
173,Dosimetry,"Dosimetry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
174,Radiation Shielding,"Radiation Shielding: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
175,Organic Synthesis,"Organic Synthesis: definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
176,Recrystallization,"Recrystallization: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
177,Distillation,"Distillation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
178,Extraction,"Extraction: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
179,Sublimation,"Sublimation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
180,Filtration,"Filtration: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
181,Centrifugation,"Centrifugation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
182,Chemical Safety,"Chemical Safety: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
183,Green Chemistry,"Green Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
184,Waste Management,"Waste Management: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
185,Acid Rain,"Acid Rain: definition, key principles, and typical applications.","Example: Buffer 0.10 M CH3COOH/0.10 M CH3COONa → pH ≈ pKa = 4.76; add small HCl, pH changes slightly."
186,Ozone Depletion,"Ozone Depletion: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
187,Smog Formation,"Smog Formation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
188,Carbon Footprint,"Carbon Footprint: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
189,Global Warming,"Global Warming: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
190,Climate Change,"Climate Change: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
191,Biochemical Oxygen Demand,"Biochemical Oxygen Demand: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
192,Photosynthesis,"Photosynthesis: definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
193,Respiration,"Respiration: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
194,ATP Cycle,"ATP Cycle: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
195,Fermentation,"Fermentation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
196,Metabolism,"Metabolism: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
197,Enzyme Kinetics,"Enzyme Kinetics: definition, key principles, and typical applications.",Example: First-order: ln[A] vs time linear; k = 0.23 min⁻¹; t½ = 0.693/k ≈ 3.01 min.
198,Inhibition,"Inhibition: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
199,DNA Replication,"DNA Replication: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
200,Protein Synthesis,"Protein Synthesis: definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
201,Cell Membrane Chemistry,"Cell Membrane Chemistry: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
202,Electrolyte Balance,"Electrolyte Balance: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
203,pKa and pKb,"pKa and pKb: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
204,Thermal Decomposition,"Thermal Decomposition: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
205,Combustion,"Combustion: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
206,Precipitation Reaction,"Precipitation Reaction: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
207,Solubility Product,"Solubility Product: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
208,Common Ion Effect,"Common Ion Effect: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
209,Complex Ion Formation,"Complex Ion Formation: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
210,Hydration Energy,"Hydration Energy: definition, key principles, and typical applications.","Provide balanced equation, numeric data, or experiment summary."
