no,topic,description,example
14,Simple Harmonic Motion,"Simple Harmonic Motion: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
15,Resonance,"Resonance: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
16,Circular Motion,"Circular Motion: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
17,Centripetal Force,"Centripetal Force: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
18,Torque,"Torque: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
19,Angular Momentum,"Angular Momentum: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
20,Moment of Inertia,"Moment of Inertia: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
21,Static Equilibrium,"Static Equilibrium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
22,Dynamic Equilibrium,"Dynamic Equilibrium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
23,Friction (Static),"Friction (Static): definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
24,Friction (Kinetic),"Friction (Kinetic): definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
25,Projectile Motion,"Projectile Motion: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
26,Center of Mass,"Center of Mass: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
27,Elastic Collision,"Elastic Collision: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
28,Inelastic Collision,"Inelastic Collision: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
29,Rocket Equation,"Rocket Equation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
30,Kepler's Laws,"Kepler's Laws: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
31,Escape Velocity,"Escape Velocity: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
32,Gravitation,"Gravitation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
33,Density,"Density: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
34,Pressure,"Pressure: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
35,Pascal's Principle,"Pascal's Principle: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
36,Archimedes' Principle,"Archimedes' Principle: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
37,Continuity Equation,"Continuity Equation: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
38,Bernoulli's Equation,"Bernoulli's Equation: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
39,Viscosity,"Viscosity: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
40,Laminar Flow,"Laminar Flow: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
41,Turbulent Flow,"Turbulent Flow: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
42,Poiseuille's Law,"Poiseuille's Law: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
43,Surface Tension,"Surface Tension: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
44,Capillarity,"Capillarity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
45,Reynolds Number,"Reynolds Number: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
46,Drag Force,"Drag Force: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
47,Stokes' Law,"Stokes' Law: definition, governing equations, and typical applications.","Bernoulli: p+½ρv²+ρgh=const. Example: ρ=1000 kg/m³, v=2→3 m/s ⇒ Δp≈−2500 Pa."
48,Cavitation,"Cavitation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
49,Temperature,"Temperature: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
50,Heat,"Heat: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
51,Specific Heat Capacity,"Specific Heat Capacity: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
52,Latent Heat,"Latent Heat: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
53,Thermal Expansion,"Thermal Expansion: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
54,Ideal Gas Law,"Ideal Gas Law: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
55,Van der Waals Gas,"Van der Waals Gas: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
56,Kinetic Theory of Gases,"Kinetic Theory of Gases: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
57,Isothermal Process,"Isothermal Process: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
58,Adiabatic Process,"Adiabatic Process: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
59,Isobaric Process,"Isobaric Process: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
60,Isochoric Process,"Isochoric Process: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
61,First Law of Thermodynamics,"First Law of Thermodynamics: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
62,Second Law of Thermodynamics,"Second Law of Thermodynamics: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
63,Third Law of Thermodynamics,"Third Law of Thermodynamics: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
64,Entropy,"Entropy: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
65,Enthalpy,"Enthalpy: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
66,Gibbs Free Energy,"Gibbs Free Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
67,Helmholtz Free Energy,"Helmholtz Free Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
68,Carnot Cycle,"Carnot Cycle: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
69,Heat Engine,"Heat Engine: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
70,Refrigerator,"Refrigerator: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
71,Heat Conduction,"Heat Conduction: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
72,Convection,"Convection: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
73,Thermal Radiation,"Thermal Radiation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
74,Blackbody Radiation,"Blackbody Radiation: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
75,Stefan–Boltzmann Law,"Stefan–Boltzmann Law: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
76,Wien's Displacement Law,"Wien's Displacement Law: definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
77,Charge,"Charge: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
78,Coulomb's Law,"Coulomb's Law: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
79,Electric Field,"Electric Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
80,Gauss's Law (Electric),"Gauss's Law (Electric): definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
81,Electric Potential,"Electric Potential: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
82,Capacitance,"Capacitance: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
83,Dielectric,"Dielectric: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
84,Current,"Current: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
85,Resistance,"Resistance: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
86,Resistivity,"Resistivity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
87,Ohm's Law,"Ohm's Law: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
88,EMF,"EMF: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
89,Kirchhoff's Laws,"Kirchhoff's Laws: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
90,RC Circuit,"RC Circuit: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
91,RL Circuit,"RL Circuit: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
92,RLC Circuit,"RLC Circuit: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
93,Magnetic Field,"Magnetic Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
94,Biot–Savart Law,"Biot–Savart Law: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
95,Ampère's Law,"Ampère's Law: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
96,Lorentz Force,"Lorentz Force: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
97,Magnetic Flux,"Magnetic Flux: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
98,Faraday's Law,"Faraday's Law: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
99,Lenz's Law,"Lenz's Law: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
100,Inductance,"Inductance: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
101,Mutual Inductance,"Mutual Inductance: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
102,Transformer,"Transformer: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
103,Maxwell's Equations,"Maxwell's Equations: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
104,Electromagnetic Waves,"Electromagnetic Waves: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
105,Poynting Vector,"Poynting Vector: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
106,Polarization (Optics),"Polarization (Optics): definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
107,Waveguides,"Waveguides: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
108,Transmission Lines,"Transmission Lines: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
109,Wavelength,"Wavelength: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
110,Frequency,"Frequency: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
111,Wave Speed,"Wave Speed: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
112,Superposition,"Superposition: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
113,Standing Waves,"Standing Waves: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
114,Beats,"Beats: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
115,Fourier Series,"Fourier Series: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
116,Fourier Transform (Physics),"Fourier Transform (Physics): definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
117,Interference,"Interference: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
118,Diffraction,"Diffraction: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
119,Huygens' Principle,"Huygens' Principle: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
120,Single-Slit Diffraction,"Single-Slit Diffraction: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
121,Double-Slit Interference,"Double-Slit Interference: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
122,Young's Experiment,"Young's Experiment: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
123,Snell's Law,"Snell's Law: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
124,Total Internal Reflection,"Total Internal Reflection: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
125,Dispersion,"Dispersion: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
126,Prism,"Prism: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
127,Lenses,"Lenses: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
128,Mirrors,"Mirrors: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
129,Lens Maker's Equation,"Lens Maker's Equation: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
130,Optical Instruments,"Optical Instruments: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
131,Diffraction Grating,"Diffraction Grating: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
132,Fiber Optics,"Fiber Optics: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
133,Photoelectric Effect,"Photoelectric Effect: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
134,Compton Effect,"Compton Effect: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
135,De Broglie Wavelength,"De Broglie Wavelength: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
136,Heisenberg Uncertainty Principle,"Heisenberg Uncertainty Principle: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
137,Wavefunction,"Wavefunction: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
138,Operators,"Operators: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
139,Eigenvalues & Eigenvectors,"Eigenvalues & Eigenvectors: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
140,Expectation Value,"Expectation Value: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
141,Time-Independent Schrödinger Equation,"Time-Independent Schrödinger Equation: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
142,Time-Dependent Schrödinger Equation,"Time-Dependent Schrödinger Equation: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
143,Particle in a Box,"Particle in a Box: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
144,Quantum Harmonic Oscillator,"Quantum Harmonic Oscillator: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
145,Quantum Tunneling,"Quantum Tunneling: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
146,Spin,"Spin: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
147,Pauli Exclusion Principle,"Pauli Exclusion Principle: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
148,Zeeman Effect,"Zeeman Effect: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
149,Stern–Gerlach Experiment,"Stern–Gerlach Experiment: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
150,Perturbation Theory,"Perturbation Theory: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
151,Hydrogen Atom,"Hydrogen Atom: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
152,Angular Momentum (Quantum),"Angular Momentum (Quantum): definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
153,Dirac Notation,"Dirac Notation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
154,Density Matrix,"Density Matrix: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
155,Entanglement,"Entanglement: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
156,Bell's Inequality,"Bell's Inequality: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
157,Quantum Measurement,"Quantum Measurement: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
158,Decoherence,"Decoherence: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
159,Postulates of Special Relativity,"Postulates of Special Relativity: definition, governing equations, and typical applications.",Time dilation: γ=1/√(1−v²/c²). Example: v=0.8c ⇒ γ≈1.667.
160,Time Dilation,"Time Dilation: definition, governing equations, and typical applications.",Time dilation: γ=1/√(1−v²/c²). Example: v=0.8c ⇒ γ≈1.667.
161,Length Contraction,"Length Contraction: definition, governing equations, and typical applications.",Time dilation: γ=1/√(1−v²/c²). Example: v=0.8c ⇒ γ≈1.667.
162,Lorentz Transformation,"Lorentz Transformation: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
163,Relativistic Momentum,"Relativistic Momentum: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
164,Relativistic Energy,"Relativistic Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
165,Mass–Energy Equivalence,"Mass–Energy Equivalence: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
166,Relativistic Doppler Effect,"Relativistic Doppler Effect: definition, governing equations, and typical applications.",Time dilation: γ=1/√(1−v²/c²). Example: v=0.8c ⇒ γ≈1.667.
167,Equivalence Principle,"Equivalence Principle: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
168,Geodesics,"Geodesics: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
169,Gravitational Redshift,"Gravitational Redshift: definition, governing equations, and typical applications.",Time dilation: γ=1/√(1−v²/c²). Example: v=0.8c ⇒ γ≈1.667.
170,Schwarzschild Radius,"Schwarzschild Radius: definition, governing equations, and typical applications.",Time dilation: γ=1/√(1−v²/c²). Example: v=0.8c ⇒ γ≈1.667.
171,Black Holes,"Black Holes: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
172,Gravitational Waves,"Gravitational Waves: definition, governing equations, and typical applications.",Time dilation: γ=1/√(1−v²/c²). Example: v=0.8c ⇒ γ≈1.667.
173,Cosmological Principle,"Cosmological Principle: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
174,Hubble's Law,"Hubble's Law: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
175,Cosmic Microwave Background,"Cosmic Microwave Background: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
176,Atomic Nucleus,"Atomic Nucleus: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
177,Isotopes,"Isotopes: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
178,Radioactive Decay,"Radioactive Decay: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
179,Half-Life,"Half-Life: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
180,Alpha Decay,"Alpha Decay: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
181,Beta Decay,"Beta Decay: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
182,Gamma Decay,"Gamma Decay: definition, governing equations, and typical applications.","Decay: N(t)=N₀e^{−λt}, t½=ln2/λ. Example: λ=0.1 s⁻¹ ⇒ t½≈6.93 s."
